algorithm,accuracy,f1,precision,recall,auc_roc,log_loss,train_time_s,infer_time_s
LightGBM,0.7882261858678498,0.12757605495583907,0.4693140794223827,0.07382169222032936,0.7079305184644741,0.46873711883317587,2.009,0.1909
Gradient Boosting,0.788464401631778,0.11288711288711288,0.46887966804979253,0.06416808631459398,0.706776831859358,0.46983401123705687,127.895,0.2573
CatBoost,0.7866777834023166,0.15279091769157993,0.45750708215297453,0.09170925610448609,0.7040636187570822,0.47278135116368053,10.11,0.0895
Logistic Regression,0.7883452937498139,0.11614026361601591,0.467935871743487,0.06629755820556502,0.7019673820014684,0.47410010619264914,1.797,0.0946
AdaBoost,0.7907572283595867,0.07745831692267297,0.5148342059336823,0.04187961385576377,0.6987642435262739,0.5672810970872887,48.912,1.0454
XGBoost,0.7856653664056219,0.17567567567567569,0.4543838862559242,0.1088869960249858,0.696233588299726,0.4782931087158071,2.133,0.101
Random Forest,0.7888812792186523,0.1155189620758483,0.4763374485596708,0.0657296990346394,0.6897356913942705,0.4772054392170491,10.932,0.6856
Decision Tree,0.7820027990352262,0.12834861293011074,0.3977859778597786,0.07651902328222601,0.6821272151327377,0.7133902284935522,1.929,0.0841
