algorithm,rmse,mae,r2,mape,train_time_s,infer_time_s
XGBoost,0.6287600004538316,0.4551046336479187,0.982524484767879,3.4715759714891945,2.231,0.0622
CatBoost,0.6790901936979015,0.5191006634810241,0.9796147943969163,3.997911661365805,6.739,0.0445
LightGBM,0.7416534604818008,0.5582696543857842,0.9756856741487152,4.2491411097338645,2.03,0.1241
Random Forest,0.7955650772185064,0.5259191237500003,0.9720223263990138,3.7570719428577393,88.571,0.5939
Gradient Boosting,0.9471943951530125,0.6802145311119059,0.9603413052267534,4.9698176137911565,124.276,0.1446
Decision Tree,0.952294300463542,0.6620008896738325,0.9599130930589919,4.739201720035579,1.903,0.0492
Linear Regression,0.9586146988556092,0.6922782880450121,0.9593792118473781,5.045952649443823,1.216,0.0673
AdaBoost,2.097042477091309,1.6289804713815523,0.8056096808611556,13.380049309609568,11.027,0.1043
