algorithm,accuracy,f1,precision,recall,auc_roc,log_loss,train_time_s,infer_time_s
Gradient Boosting,0.804725,0.12755500949402435,0.566468253968254,0.07186910006293266,0.7140462187443525,0.4511795135060791,132.233,0.3328
LightGBM,0.805025,0.13889808987523464,0.5656474820143885,0.07916928886091881,0.7139320977092648,0.4509347151102267,1.989,0.2194
CatBoost,0.8045,0.16202314616373767,0.5450612833453496,0.09515418502202644,0.7131174461295529,0.4518775262236455,9.696,0.1091
Logistic Regression,0.80435,0.11148955495004541,0.5689455388180765,0.0617998741346759,0.7109383641768164,0.4532684109901509,2.321,0.1189
AdaBoost,0.8042,0.09036004645760744,0.5849624060150376,0.04896161107614852,0.7084154348857017,0.563655720037764,50.733,1.2073
XGBoost,0.800225,0.17405684754521963,0.4867052023121387,0.10597860289490245,0.7002050735053689,0.4602980907780497,2.077,0.1191
Random Forest,0.80375,0.11499436302142052,0.5513513513513514,0.06419131529263687,0.6988359273546421,0.45830368136969063,10.853,0.8715
Decision Tree,0.79795,0.1374599786552828,0.4519298245614035,0.08105726872246696,0.6915896048317678,0.5607436686013365,1.919,0.1026
