algorithm,rmse,mae,r2,mape,train_time_s,infer_time_s
Gradient Boosting,3325.5796537037845,2331.6964139009124,0.8173260137918847,5612161504.699089,17.286,0.0268
LightGBM,3331.192978773141,2317.27877058293,0.8167088137973879,5526474858.505645,1.168,0.0324
CatBoost,3342.1071300449053,2328.7108005899095,0.8155057944219635,5598758778.230672,1.861,0.0118
Random Forest,3399.2807741908814,2364.9879119997477,0.8091394931237377,5623849651.004605,14.754,0.0942
Linear Regression,3412.068679418581,2416.7941650382036,0.8077007787977737,5888516895.269723,0.22,0.0171
XGBoost,3473.0506476003575,2423.3570121341804,0.8007656440225346,5383235319.809391,0.731,0.0162
Decision Tree,3624.149891168763,2465.9183889654005,0.7830526749657313,5026349238.719458,0.341,0.0129
AdaBoost,4106.909284860545,3096.5140179783743,0.7214057060874942,4622254122.236417,3.07,0.0368
